央视,#genre#
CCTV1,http://192.168.1.1:8000/rtp/239.33.3.2:22580
CCTV2,http://192.168.1.1:8000/rtp/239.33.3.3:22590
CCTV3,http://192.168.1.1:8000/rtp/239.33.3.4:22600
CCTV4,http://192.168.1.1:8000/rtp/239.33.3.40:22960
CCTV5,http://192.168.1.1:8000/rtp/239.33.3.5:22610
CCTV6,http://192.168.1.1:8000/rtp/239.33.3.7:22630
CCTV7,http://192.168.1.1:8000/rtp/239.33.3.73:23290
CCTV8,http://192.168.1.1:8000/rtp/239.33.3.9:22650
CCTV9,http://192.168.1.1:8000/rtp/239.33.3.10:22660
CCTV10,http://192.168.1.1:8000/rtp/239.33.3.11:22670
CCTV11,http://192.168.1.1:8000/rtp/239.33.2.11:20110
CCTV12,http://192.168.1.1:8000/rtp/239.33.3.12:22680
CCTV13,http://192.168.1.1:8000/rtp/239.33.2.13:20130
CCTV14,http://192.168.1.1:8000/rtp/239.33.3.13:22690
CCTV15,http://192.168.1.1:8000/rtp/239.33.2.15:20150
CCTV17,http://192.168.1.1:8000/rtp/239.33.3.8:22640
CCTV5+,http://192.168.1.1:8000/rtp/239.33.3.6:22620
CGTN,http://192.168.1.1:8000/rtp/239.33.3.43:22990
CGTNDocumentary,http://192.168.1.1:8000/rtp/239.33.3.44:23000

卫视,#genre#
北京卫视,http://192.168.1.1:8000/rtp/239.33.3.21:22770
天津卫视,http://192.168.1.1:8000/rtp/239.33.3.22:22780
东方卫视,http://192.168.1.1:8000/rtp/239.33.3.24:22800
浙江卫视,http://192.168.1.1:8000/rtp/239.33.3.51:23070
江苏卫视,http://192.168.1.1:8000/rtp/239.33.3.52:23080
安徽卫视,http://192.168.1.1:8000/rtp/239.33.3.16:22720
湖南卫视,http://192.168.1.1:8000/rtp/239.33.3.15:22710
贵州卫视,http://192.168.1.1:8000/rtp/239.33.3.71:23270
山东卫视,http://192.168.1.1:8000/rtp/239.33.3.18:22740
山西卫视,http://192.168.1.1:8000/rtp/239.33.2.46:20460
广东卫视,http://192.168.1.1:8000/rtp/239.33.3.19:22750
广西卫视,http://192.168.1.1:8000/rtp/239.33.2.48:20480
湖北卫视,http://192.168.1.1:8000/rtp/239.33.3.17:22730
江西卫视,http://192.168.1.1:8000/rtp/239.33.2.50:20500
河北卫视,http://192.168.1.1:8000/rtp/239.33.2.51:20510
河南卫视,http://192.168.1.1:8000/rtp/239.33.2.52:20520
四川卫视,http://192.168.1.1:8000/rtp/239.33.3.42:22980
重庆卫视,http://192.168.1.1:8000/rtp/239.33.3.41:22970
东南卫视,http://192.168.1.1:8000/rtp/239.33.3.55:23110
旅游卫视,http://192.168.1.1:8000/rtp/239.33.3.74:23300
青海卫视,http://192.168.1.1:8000/rtp/239.33.2.62:20620
云南卫视,http://192.168.1.1:8000/rtp/239.33.2.57:20570
陕西卫视,http://192.168.1.1:8000/rtp/239.33.2.59:20590
内蒙古卫视,http://192.168.1.1:8000/rtp/239.33.2.60:20600
宁夏卫视,http://192.168.1.1:8000/rtp/239.33.2.61:20610
吉林卫视,http://192.168.1.1:8000/rtp/239.33.3.72:23280
新疆卫视,http://192.168.1.1:8000/rtp/239.33.2.63:20630
甘肃卫视,http://192.168.1.1:8000/rtp/239.33.2.64:20640
西藏卫视,http://192.168.1.1:8000/rtp/239.33.2.65:20650
黑龙江卫视,http://192.168.1.1:8000/rtp/239.33.3.14:22700
深圳卫视,http://192.168.1.1:8000/rtp/239.33.3.20:22760
厦门卫视,http://192.168.1.1:8000/rtp/239.33.2.56:20560
中国教育1台,http://192.168.1.1:8000/rtp/239.33.3.45:23010
兵团卫视,http://192.168.1.1:8000/rtp/239.33.2.68:20680
延边卫视,http://192.168.1.1:8000/rtp/239.33.3.80:23360

辽宁,#genre#
辽宁卫视,http://192.168.1.1:8000/rtp/239.33.3.1:22570
辽宁都市,http://192.168.1.1:8000/rtp/239.33.2.17:20170
辽宁影视剧,http://192.168.1.1:8000/rtp/239.33.2.18:20180
辽宁体育,http://192.168.1.1:8000/rtp/239.33.2.19:20190
辽宁生活,http://192.168.1.1:8000/rtp/239.33.2.20:20200
辽宁青少,http://192.168.1.1:8000/rtp/239.33.2.21:20210
辽宁北方,http://192.168.1.1:8000/rtp/239.33.2.22:20220
辽宁公共,http://192.168.1.1:8000/rtp/239.33.2.122:21220
辽宁经济,http://192.168.1.1:8000/rtp/239.33.2.121:21210
沈阳新闻,http://192.168.1.1:8000/rtp/239.33.2.123:21230

数字,#genre#
金鹰卡通,http://192.168.1.1:8000/rtp/239.33.2.70:20700
优漫卡通,http://192.168.1.1:8000/rtp/239.33.2.72:20720
嘉佳卡通,http://192.168.1.1:8000/rtp/239.33.2.73:20730
卡酷动画,http://192.168.1.1:8000/rtp/239.33.2.124:21240
金鹰纪实,http://192.168.1.1:8000/rtp/239.33.3.26:22820
北京纪实,http://192.168.1.1:8000/rtp/239.33.3.25:22810
新动漫,http://192.168.1.1:8000/rtp/239.33.2.34:20340
高尔夫网球,http://192.168.1.1:8000/rtp/239.33.3.88:23440
快乐垂钓,http://192.168.1.1:8000/rtp/239.33.3.69:23250
欢笑剧场,http://192.168.1.1:8000/rtp/239.33.3.97:23530
网络棋牌,http://192.168.1.1:8000/rtp/239.33.2.33:20330
CHC动作电影,http://192.168.1.1:8000/rtp/239.33.2.207:22070
CHC家庭电影,http://192.168.1.1:8000/rtp/239.33.2.210:22100
CHC高清电影,http://192.168.1.1:8000/rtp/239.33.2.209:22090
第一剧场,http://192.168.1.1:8000/rtp/239.33.2.90:20900
怀旧剧场,http://192.168.1.1:8000/rtp/239.33.2.93:20930
风云剧场,http://192.168.1.1:8000/rtp/239.33.2.92:20920
风云足球,http://192.168.1.1:8000/rtp/239.33.2.89:20890
风云音乐,http://192.168.1.1:8000/rtp/239.33.2.94:20940
央视台球,http://192.168.1.1:8000/rtp/239.33.2.126:21260
世界地理,http://192.168.1.1:8000/rtp/239.33.2.91:20910
兵器科技,http://192.168.1.1:8000/rtp/239.33.2.125:21250
女性时尚,http://192.168.1.1:8000/rtp/239.33.2.97:20970
茶频道,http://192.168.1.1:8000/rtp/239.33.3.70:23260
游戏风云,http://192.168.1.1:8000/rtp/239.33.3.92:23480
MAX极速汽车,http://192.168.1.1:8000/rtp/239.33.3.94:23500
全纪实,http://192.168.1.1:8000/rtp/239.33.3.96:23520
生活时尚,http://192.168.1.1:8000/rtp/239.33.3.91:23470
环球奇观,http://192.168.1.1:8000/rtp/239.33.2.110:21100
老故事,http://192.168.1.1:8000/rtp/239.33.2.98:20980
国学,http://192.168.1.1:8000/rtp/239.33.2.118:21180
梨园,http://192.168.1.1:8000/rtp/239.33.2.105:21050
武术世界,http://192.168.1.1:8000/rtp/239.33.2.117:21170
汽摩,http://192.168.1.1:8000/rtp/239.33.2.102:21020
文物宝库,http://192.168.1.1:8000/rtp/239.33.2.116:21160
CGTN-俄语,http://192.168.1.1:8000/rtp/239.33.2.228:22280
CGTN-西班牙语,http://192.168.1.1:8000/rtp/239.33.2.225:22250
CGTN-阿拉伯语,http://192.168.1.1:8000/rtp/239.33.2.227:22270
CGTN-法语,http://192.168.1.1:8000/rtp/239.33.2.226:22260
辽宁移动电视,http://192.168.1.1:8000/rtp/239.33.2.25:20250
山东教育,http://192.168.1.1:8000/rtp/239.33.3.79:23350
农林卫视,http://192.168.1.1:8000/rtp/239.33.2.69:20690
哈哈炫动,http://192.168.1.1:8000/rtp/239.33.2.71:20710
CCTV-4欧洲,http://192.168.1.1:8000/rtp/239.33.2.223:22230
